"","Date","Seattle"
"1","3/31/2008",813
"2","6/30/2008",958
"3","9/30/2008",769
"4","12/31/2008",577
"5","3/31/2009",532
"6","6/30/2009",967
"7","9/30/2009",834
"8","12/31/2009",781
"9","3/31/2010",853
"10","6/30/2010",919
"11","9/30/2010",620
"12","12/31/2010",703
"13","3/31/2011",783
"14","6/30/2011",924
"15","9/30/2011",715
"16","12/31/2011",643
"17","3/31/2012",709
"18","6/30/2012",990
"19","9/30/2012",799
"20","12/31/2012",776
"21","3/31/2013",889
"22","6/30/2013",1102
"23","9/30/2013",931
"24","12/31/2013",1045
